colour	x	y	group	showSelectedlegendcolour	clickSelects	PANEL
#984EA3	1	0.0147845463606276	3	3	3	4
#984EA3	2	0.0124374113386512	3	3	3	4
#984EA3	3	0.0130329290654013	3	3	3	4
#984EA3	4	0.0112308218625891	3	3	3	4
#984EA3	5	0.0108806197763518	3	3	3	4
#984EA3	6	0.0105712988366366	3	3	3	4
#984EA3	7	0.00906623785543461	3	3	3	4
#984EA3	8	0.00805738128101942	3	3	3	4
#984EA3	9	0.00749227283506004	3	3	3	4
#984EA3	10	0.00840807596159615	3	3	3	4
#984EA3	11	0.00918448267793995	3	3	3	4
#984EA3	12	0.0104596819785713	3	3	3	4
#984EA3	13	0.0106831975279714	3	3	3	4
#984EA3	14	0.010510418484494	3	3	3	4
#984EA3	15	0.0110177028931321	3	3	3	4
#984EA3	16	0.0113730693369389	3	3	3	4
#984EA3	17	0.0119452717675202	3	3	3	4
#984EA3	18	0.0123951906130361	3	3	3	4
#984EA3	19	0.0124048736773155	3	3	3	4
#984EA3	20	0.0128052582961249	3	3	3	4
#984EA3	21	0.0130087836339218	3	3	3	4
#984EA3	22	0.0136139066260313	3	3	3	4
#984EA3	23	0.0132917342562501	3	3	3	4
#984EA3	24	0.0131945092095174	3	3	3	4
#984EA3	25	0.013690875433589	3	3	3	4
#984EA3	26	0.0145395517128999	3	3	3	4
#984EA3	27	0.0151025510912512	3	3	3	4
#984EA3	28	0.0161512244946668	3	3	3	4
#984EA3	29	0.0173202922831238	3	3	3	4
#984EA3	30	0.0177268147971184	3	3	3	4
#FF7F00	1	0.0117863587706274	4	4	4	4
#FF7F00	2	0.011684078288415	4	4	4	4
#FF7F00	3	0.0106932853831478	4	4	4	4
#FF7F00	4	0.0115404795271804	4	4	4	4
#FF7F00	5	0.00814971596193899	4	4	4	4
#FF7F00	6	0.00711039678549191	4	4	4	4
#FF7F00	7	0.0073954714793866	4	4	4	4
#FF7F00	8	0.00706067205136256	4	4	4	4
#FF7F00	9	0.00715603208668176	4	4	4	4
#FF7F00	10	0.00792966238355092	4	4	4	4
#FF7F00	11	0.00749117826477423	4	4	4	4
#FF7F00	12	0.00680637812343745	4	4	4	4
#FF7F00	13	0.0063021756145084	4	4	4	4
#FF7F00	14	0.00633990904359291	4	4	4	4
#FF7F00	15	0.00613227127188028	4	4	4	4
#FF7F00	16	0.00627391732836964	4	4	4	4
#FF7F00	17	0.00722117320405139	4	4	4	4
#FF7F00	18	0.0074248691592222	4	4	4	4
#FF7F00	19	0.00802430806174589	4	4	4	4
#FF7F00	20	0.00856059486713882	4	4	4	4
#FF7F00	21	0.0089535130469404	4	4	4	4
#FF7F00	22	0.00963553025951955	4	4	4	4
#FF7F00	23	0.00992311818519812	4	4	4	4
#FF7F00	24	0.0103978814269089	4	4	4	4
#FF7F00	25	0.0111151831372728	4	4	4	4
#FF7F00	26	0.0115931569621368	4	4	4	4
#FF7F00	27	0.0123327259039941	4	4	4	4
#FF7F00	28	0.0131212381572636	4	4	4	4
#FF7F00	29	0.0130053989318884	4	4	4	4
#FF7F00	30	0.0136646050652031	4	4	4	4
