linetype	x	showSelectedlegendlinetype	PANEL	group
solid	-1.04522613065327	prediction	4	639
solid	-1.02010050251256	prediction	4	640
solid	-0.994974874371859	prediction	4	641
solid	-0.969849246231156	prediction	4	642
solid	-0.944723618090452	prediction	4	643
solid	-0.919597989949749	prediction	4	644
solid	-0.894472361809045	prediction	4	645
solid	-0.869346733668342	prediction	4	646
solid	-0.844221105527638	prediction	4	647
solid	-0.819095477386935	prediction	4	648
solid	-0.793969849246231	prediction	4	649
solid	-0.768844221105528	prediction	4	650
solid	-0.743718592964824	prediction	4	651
solid	-0.71859296482412	prediction	4	652
solid	-0.693467336683417	prediction	4	653
solid	-0.668341708542713	prediction	4	654
solid	-0.64321608040201	prediction	4	655
solid	-0.618090452261306	prediction	4	656
solid	-0.592964824120603	prediction	4	657
solid	-0.567839195979899	prediction	4	658
solid	-0.542713567839196	prediction	4	659
solid	-0.517587939698492	prediction	4	660
solid	-0.492462311557789	prediction	4	661
solid	-0.467336683417085	prediction	4	662
solid	-0.442211055276382	prediction	4	663
solid	-0.417085427135678	prediction	4	664
solid	-0.391959798994975	prediction	4	665
solid	-0.366834170854271	prediction	4	666
solid	-0.341708542713568	prediction	4	667
solid	-0.316582914572864	prediction	4	668
solid	-0.291457286432161	prediction	4	669
solid	-0.266331658291457	prediction	4	670
solid	-0.241206030150754	prediction	4	671
solid	-0.21608040201005	prediction	4	672
solid	-0.190954773869347	prediction	4	673
solid	-0.165829145728643	prediction	4	674
solid	-0.14070351758794	prediction	4	675
solid	-0.115577889447236	prediction	4	676
solid	-0.0904522613065326	prediction	4	677
solid	-0.0653266331658291	prediction	4	678
solid	-0.0402010050251256	prediction	4	679
solid	-0.0150753768844221	prediction	4	680
solid	0.0100502512562817	prediction	4	681
solid	0.0351758793969852	prediction	4	682
solid	0.0603015075376887	prediction	4	683
solid	0.0854271356783922	prediction	4	684
solid	0.110552763819096	prediction	4	685
solid	0.135678391959799	prediction	4	686
solid	0.160804020100503	prediction	4	687
solid	0.185929648241206	prediction	4	688
solid	0.21105527638191	prediction	4	689
solid	0.236180904522613	prediction	4	690
solid	0.261306532663317	prediction	4	691
solid	0.28643216080402	prediction	4	692
solid	0.311557788944724	prediction	4	693
solid	0.336683417085427	prediction	4	694
